Date,qPCR CT (OPV1)
20130813,27.3
20130820,23.5
20130820,24.1
20130826,28.4
20130910,29.2
20130910,29.3
20130916,29.1
20130923,33.1
20131001,32.5
20131001,33.2
20131008,32.5
20131008,35.9
20131014,28.1
20131022,29.5
20131022,29.9
20131028,31.1
20131028,31.3
20131105,30.4
20131114,33.3
20131114,35.1
20131119,33.1
20131119,33.5
20131205,34.8
20131205,36.35
20131212,39.8
20131212,35.4
20131212,37
20131212,60
20131218,60
20131225,36.7
20131225,60
20131231,35.8
20131231,60
